"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1500","1500","1500","1800","1800","2000","2500","2800","3000","3300","3500","3600","3700","3800","3900","4000","4084","4837","4000","3801","5115","5747","5594","4812","5599","7763","8057","7842","6736","9207","8105","7553","7983","8958","7628","9389","12940","10050","9849","10620","11718","11230","11204","13638","14489","11855","15593","15013","14176","16356","13490","9915","27091","14976","15854","15540","15000","15000","15000","14850","14414","15720","","",
"Bahamas, The","BHS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1600","1500","1600","1700","1900","2950","3800","2950","2750","2350","2750","2950","3300","4400","4663","4693","4750","5327","5114","5765","7119","7631.79","7737.04","8548.15","8430.07","11164.82","8653.9","10520.03","10464.66","9788.61","9709.18","11889.54","12205.54","13695.94","14927.02","13245.48","14099.15","14719.59","14577.69","13667","15527","13671","15675","16724","15164","15555","16242","10912","14813","13809.83","16342.44","15313","16756.83","12765","11878.22","11307.29","11625","11479.94","10998.69","10145.91","7433.16","8704.85","","",
"Bosnia and Herzegovina","BIH","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201","201","201","201","252","253","254","255","255","255","255","255","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","","",
"Belarus","BLR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1507","2993","787","715","821","499","457","980","553","944","1020","803","583","594","645","689","809","826","897","1122","965","697","766","869","688.3","773.3","800.4","662","939.05","611.23","","",
"Belize","BLZ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","900","600","800","900","900","800","900","1300","1300","1600","1500","1800","1900","1600","1618","1603","1613","3082","2808","2554","2066","2252","2288","2641","2672","2427","1838","2059","2151","1770","2033","2521","2414","3971","7670","9719","12168","24788","26600","51827","30322","30746","84360","43358","70046","100507","185773","305645","364274","304217","399928","277494.29","171943.25","34703.6","76201.19","97524.25","91424.52","121142.06","216956.04","213986.32","186899.16","191621.2","","",
"Bermuda","BMU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","500","400","400","450","450","500","500","550","550","900","2380","2820","3220","3599","4572","7208","7635","8723","6347","4105","2024","2348","927","538","670","820","821","773","774","463","428","432","404","394","449","465","461","466","453","290","309","397","363","386","401","381","425","401","416","375","478","516","461","417","407","410","380","354","374","358.48","419","","",
"Bolivia","BOL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","700","500","1300","1400","1900","1800","1700","1500","1300","1200","1100","1300","1500","1500","1050","1050","1250","1550","1550","3650","4379","5617","4105","4105","4105","4170","3871","4226","4332","5676","6909","5167","4905","5518","5353","5692","5988","6038","6055","6052","6106","5940","6300","6599","6436","6360","6080","5770","6750","7568","6946","6677","6820","7171","6990","7000","7000","7000","7400","7900","7500","7600","","",
"Brazil","BRA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","251000","275100","379400","335588","368976","388912","393162","419796","495176","492293","573021","613442","620117","759919","715030","752504","659808","730936","753523","781886","804869","805771","824298","872106","949869","956684","946560","934852","814543","780468","619805","648120","640513","646051","670336","606708","615482","644585","606789","603941","666846","730378","755582","712144","746217","750261","779113","783177","791892","825412","785369","760696","818590.47","770017.55","773293.4","710374.17","718906.95","719281","717928.37","727578.78","724605.93","760622.55","","",
"Barbados","BRB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5213","4613","4713","2813","2113","2613","4813","4613","3213","3013","2313","2313","2313","2613","2668","4223","4952","3188","3597","4267","3747","3423","3492","6534","5784","3832","4112","3610","8939","2585","3029","2292","3585","3225","2829","3592","3523","2820","3655","3281","3185","2731","2530","2849","2159","2193","1986","2235","3562","3507","3280","1817.89","1360.63","2975.86","2206.32","1498.95","1735.48","1739.54","1731.96","874.74","1033.75","846.57","","",
"Brunei Darussalam","BRN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","800","900","900","1000","1000","1100","1200","1200","1300","1300","1500","1500","1500","1500","1560","1570","1644","2193","2704","2792","2225","2367","2357","3055","3425","3967","4106","3914","2040","2316","2348","1651","1692","1728","4445","4719","5729","4521","5049","3186","2487","1597","2058","1789","1923","2709","2279","2550","2357","1958","2351","2154","4523","2826","3186","3370","13292","11864","13566","13690.39","13091.04","15295","","",
