country,GID_0,ISO_3,region,subregion,ID,ws_avg,GroundWater_GeomaticDeq50,MSpecies_Richness_9taxa,TMSpecies_Richness_8taxa,soil_biodiversity,Species_Richness_4taxa,TSpecies_Richness_4taxa,TempVelocity_terr_all,Monfreda_prod_sum_allcrops,IHME_dbl_burden_malnut,Herrero_lvstk_kg,Watson_fish_ind_nind_0004,DALYS_2000,life_expectancy_SHDI_2000,TerrStat_hotspots_bin_sum_quant0.1,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005,n_cases_country,prop_cases_country
american samoa,ASM,ASM,asia and the pacific,oceania,11,NA,NA,3.5507495403289795,2.4615230560302734,NA,0,0,0,0,NA,NA,8284.908203125,26048.216796875,NA,0,0.34594953060150146,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA,NA,NA
antarctica,ATA,ATA,antarctica,antarctica,12,NA,NA,0.04916948280401117,0.02454591810150501,NA,5.390693802025607e-4,1.80346811346953e-4,0.8875589334669605,NA,NA,NA,1621.9163130327852,NA,NA,NA,NA,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA,NA,NA
french southern territories (the),ATF,ATF,asia and the pacific,oceania,13,NA,NA,1.3672655426611111,1.041800788068396,160.8411748712713,0.04624197952003262,0.17237680551415652,0.5998739980166956,NA,NA,NA,32695.84796688954,NA,NA,NA,0.00321549879478626,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA,NA,NA
antigua and barbuda,ATG,ATG,americas,caribbean,14,NA,NA,2.2100570599238076,1.2356287240982056,191,0,0,0,0,NA,0,25494.716959635414,25520.1875,NA,0,0.5326936691999435,3.3333333333333335,5,21.60669008890788,21.166666666666668,23.940023104349773,23.5,4,5.833333333333333,1.7308219224214554,1.7308219224214554,0,0,6.333333333333333,6.333333333333333,0,3.8758680125077567,2.3333333333333335,1.1666666666666667,62,0.164021164021164
australia,AUS,AUS,asia and the pacific,oceania,15,5.653692933744863,0.7966088128661293,0.5303554531905857,0.26419522936128,30.13916198654076,0.8483559973071508,0.17642138895264595,0.6605039460373173,1004.013051131926,NA,2255.5555085474475,2654.596870005475,26278.74609375,78.71645210474914,3,0.05704592440444105,3044677.110367826,3044677.108670474,3.285823254616906,3.2207156835336876,3.4438049041480636,3.3779603818043853,0.03933449317095607,0.04142420061191433,0.0173316437906019,0.01945511412792929,1.0343651888735577,0.9896414501969724,0.19469274301597775,3044677.3113343185,0.09918611394404785,1.3798660191195884,0.49455076289319494,0.6616873637690723,72,0.19047619047619047
austria,AUT,AUT,europe and central asia,central and western europe,16,0.0311519315869295,26.547586125304015,0.02506670394343484,0.01384989219167071,119.34394700886226,0.607085150658133,0.08933421470726388,0.8477957351889401,12145.946100640656,NA,40074.73045646838,NA,30520.436918535303,78.39181804458438,3,0.4545335850717918,0.7356002775850105,0.9090909090909092,13.91794939524262,13.563497571131158,14.949871680705106,14.595419847328245,1.931297709923664,2.6092990978487163,0.16824525414346198,0.16824525414346198,0.27966689798750866,0.2227619708535739,5.376821651630812,5.473282442748092,1.0659264399722417,2.3055681355664666,2.054823039555864,2.1956974323386538,64,0.1693121693121693
azerbaijan,AZE,AZE,europe and central asia,eastern europe,17,1.5065749870078744,32.05408478592058,0,0,66.64125842885579,0.6816011824551262,0.2166396402866488,0.514493238559623,4965.630152363086,0.1436444131391389,29256.594015583814,NA,36346.00902171851,64.4250051078598,2,0.3698406296730773,135236072.27162367,135236072.1350531,12.433425746755562,19.389984825493173,12.737879187109982,19.6752655538695,0.8404858299595142,0.4574898785425101,0.15681751763073656,0.15681751763073656,0.3821862348178138,0.3497975708502024,5.264777327935223,135236077.12822458,0.3368421052631579,2.4077823190071324,2.6639676113360324,3.230769230769231,NA,NA
burundi,BDI,BDI,africa,central africa,18,0.04639363340652598,18.876394608081917,0,0,107.84977929356,1.6542234276049437,0.5415120986513436,0.9194345030540856,12776.080206045584,0.10407288967057912,3295.038616012315,NA,119372.44249201278,48.08351883568322,3,0.5255739197441159,137219402.4600639,137219402.4600639,14.34888557036989,21.53993610223642,14.53109044996138,21.71246006389776,0.07849829351535836,0.0341296928327645,0.06656919366450459,0.0337570166614696,0.4778156996587031,0.4880546075085324,7.09556313993174,137219409.571885,0,6.261838555234284,0.33447098976109213,0.04778156996587031,62,0.164021164021164
belgium,BEL,BEL,europe and central asia,central and western europe,19,0.5749218751606828,4.993418393583174,0.1563467288146788,0.09812179757137106,119.40836956841603,0.5135189642599423,0.06408813108659582,0.540977331623435,13501.902516187954,NA,225313.16361629684,314.63017541013267,31780.286021205357,77.43603955677577,2,0.6522989832130927,6.392857142857143,5.660714285714286,28.274622758797236,27.98928571428571,25.804979925496237,25.519642857142856,7.291071428571429,6.935714285714286,1.1088439368255162e-4,1.1088439368255162e-4,0.00357142857142857,0.10714285714285714,7.060714285714286,7.1875,1.8857142857142857,3.265583422088197,2.375,0.7625,65,0.17195767195767195
benin,BEN,BEN,africa,west africa,20,1.9884345686568647,1.8059555127271112,0.10458051342835084,0.06108063315610967,52.38246499167549,1.4718823540977568,0.41865933869491545,1.047115201455772,3648.17734742862,0.1452242776054388,1244.4304139970163,167259.42238451086,83246.46105742872,55.80299767282817,1,0.3955878374054809,0.01461988304093567,0.03654970760233918,5.7330797352986025,5.420321637426901,8.016695674094889,7.701023391812866,0.02046783625730994,0.0621345029239766,0.00972790980560805,0.02945496005144888,0.02119883040935672,0.01023391812865497,3.923245614035088,4.6608187134502925,0.08187134502923976,1.636363533287369,0.02558479532163742,1.4992690058479532,62,0.164021164021164
