country,GID_0,ISO_3,region,subregion,ID,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
congo (the democratic republic of the),COD,COD,africa,central africa,47,0.15847538375499426,19546128.174946085,19546128.173483934,4.8390541843156365,5.670504806813613,5.5515686184655975,6.373176883430201,0.005312084993359893,0.007009001032905415,0.022692943319698625,0.04788260789017274,0.10384388372436182,0.11136933746495499,2.779327135900841,19546131.755492195,0.038069942452412575,1.7163907564364036,0.16862180906005608,0.009296148738379814
congo (the),COG,COG,africa,central africa,48,0.17794151429762553,0.007492507492507493,0.024975024975024976,2.389007452054957,2.1515984015984015,3.1679655510770544,2.9265734265734267,0.00974025974025974,0.05444555444555445,0.07917301282515035,0.1183708755713467,0.07242757242757243,0.07492507492507493,1.1728271728271729,1.9195804195804196,0.03996003996003996,0.9357085647610398,0.07167832167832168,0
cook islands (the),COK,COK,asia and the pacific,oceania,49,0.28011758128801983,715827882.6666666,715827882.6666666,14.868191719055176,52,14.368191719055176,51.666666666666664,1.5,1.5,1.004079982638359,1.004079982638359,0,0,7,715827887,0,5.364112019538879,0,0
colombia,COL,COL,americas,south america,50,0.17384480175314904,1449914.0511627907,1449914.0526631658,4.640179266615155,4.526256564141035,5.297393299573754,5.176594148537134,0.19938443059830344,0.22828616470234966,0.12493579638617475,0.16395299913534586,0.8165302905187298,0.7687110577283988,2.140605059680204,1449916.5041260314,0.046242774566473986,0.9525229590413951,0.24960588544403572,0.46085128744088283
comoros (the),COM,COM,africa,east africa and adjacent islands,51,0.32408011743896886,226050910.31578946,226050910.31578946,12.833166178535013,24.526315789473685,12.480225002064424,24.210526315789473,0,0,0.6806414657518925,0.6806414657518925,0,0,8.235294117647058,226050917.7368421,0,3.5054659562952377,0.4117647058823529,0
cabo verde,CPV,CPV,africa,west africa,52,0.32248167724659044,313174698.6666667,313174698.6666667,7.552452261854962,24.8125,9.210988864666078,26.229166666666668,0.12195121951219512,0.21951219512195122,0.7237948380530813,0.7237948380530813,0,0,5.097560975609756,313174703.625,0,1.6091452117373304,0,0.8536585365853658
costa rica,CRI,CRI,americas,mesoamerica,53,0.31021000607178945,21227186.240527183,21227186.289950576,11.02876334222105,11.927512355848435,11.885847706167947,12.771004942339374,0.4459234608985025,0.8286189683860233,0.2282052925888404,0.23836784867183478,0.8635607321131448,0.8868552412645591,4.394342762063228,21227191.014827017,0.19966722129783693,3.3962319419903686,1.2346089850249584,0.9317803660565723
cuba,CUB,CUB,americas,caribbean,54,0.3277698567805068,65169301.52890173,65169301.59393064,12.75528114900859,15.919797687861271,10.215061013105196,13.452312138728324,0.14083457526080476,0.3651266766020864,0.18215887290566998,0.1955899859549011,0.29582712369597614,0.4016393442622951,5.353949329359166,65169306.81647399,1.1028315946348732,2.1521088926651792,3.453055141579732,0.3286140089418778
curaçao,CUW,CUW,americas,caribbean,55,0.45751763383547467,357913944.6666667,357913944.6666667,25.567740821838377,42.166666666666664,23.167740631103516,40.166666666666664,5.2,5.2,0.8418312013149262,0.8418312013149262,0,0,6.8,357913947.3333333,0,5.9259095907211305,2.8,0
christmas island,CXR,CXR,asia and the pacific,south-east asia,56,0.05971534177660942,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
