year,urban_mean,agri_mean,anthropo_mean,forest_mean,anthropo_change,forest_change,anthropo_mean_0,forest_mean_0,urban_change,agri_change,urban_mean_0,agri_mean_0,%collapsed_overexploited,fish_stock,fish_stock_lag,fish_stock_change,cases_count,total_count,tca_count,prop_new_cases_tca,prop_new_cases,prop_aggr,prop_aggr_0,index_forest,index_anthropo,index_urban,index_agri,index_fish,normalized_forest,normalized_anthropo,normalized_urban,normalized_agri,normalized_fish
2002,0.00312055251846151,0.1131132095041832,0.1162337620226447,0.274989435373767,2.663573037703648e-4,-4.5168648413307366e-5,0.00346880481280686,-0.00276222326978003,1.9756506205592965e-4,6.879224171443821e-5,9.141209205033398e-4,0.00255468389230353,34.400000000000006,0.344,0.3251,0.01889999999999997,400,4240817,66497,0.00601530896130652,9.43214479662763e-5,7.692963670145069e-5,2.8889275111257062e-5,0.9900550611172949,1.0307613721375513,1.414298327375871,1.0231070727306175,1.496953872932985,0.9273922999287727,0.6503906120713997,0.2810660373315117,0.8441957483573069,0.45698279311724677
2003,0.00331798722949163,0.11309568178123916,0.1164136690107308,0.2750648595413916,1.799069880861065e-4,7.542416762457149e-5,0.00364871180089297,-0.00268679910215546,1.9743471103012e-4,-1.7527722944041257e-5,0.00111155563153345,0.00253715616935949,35.35,0.3535,0.344,0.0095,452,4535445,69779,0.00647759354533598,9.965946009707978e-5,7.978043539266963e-5,3.174007380247601e-5,0.9903266136545252,1.032356787881392,1.5037797829590966,1.0229485347721288,1.5382941688424716,0.9020692954313358,0.6841226386372196,0.3417715639377428,0.838403709180827,0.49499799919967974
2004,0.00352544453854452,0.11358470040282669,0.1171101449413712,0.2747858650600236,6.964759306404e-4,-2.789944813679779e-4,0.00434518773153337,-0.00296579358352344,2.0745730905289035e-4,4.890186215875253e-4,0.00131901294058635,0.00302617479094702,36.29,0.3629,0.3535,0.00940000000000002,558,4883906,77206,0.00722741755822086,1.1425281321958284e-4,8.388220589687765e-5,3.584184430668403e-5,0.9893221390719772,1.0385331386544816,1.5978036852839506,1.0273716999589027,1.5791993037423846,0.9957392520108732,0.8147098095122703,0.4055587527692247,1,0.5326130452180872
2005,0.00364080104392184,0.11356112863464302,0.11720192967856488,0.2748155906190498,9.178473719366476e-5,2.972555902619467e-5,0.00443697246872704,-0.00293606802449725,1.153565053773199e-4,-2.357176818366946e-5,0.00143436944596367,0.00300260302276335,37.95,0.3795,0.3629,0.0166,741,5237936,85699,0.00864654196665072,1.4146793698892085e-4,9.0399210605746e-5,4.2358849015552385e-5,0.9894291611476378,1.0393470859964993,1.6500856166540736,1.0271584937131317,1.6514360313315928,0.9857591555959421,0.8319191754534762,0.44102757874135284,0.9922107049949045,0.5990396158463385
2006,0.00374549124246478,0.1134974574017686,0.1172429486442334,0.27494607968250345,4.1018965668535023e-5,1.3048906345364264e-4,0.00447799143439557,-0.0028055789610436,1.0469019854294008e-4,-6.367123287441545e-5,0.00153905964450661,0.00293893178988893,38.629999999999995,0.3863,0.3795,0.00679999999999997,816,5727086,94162,0.00866591618699687,1.424808358037578e-4,9.613410908175852e-5,4.80937474915649e-5,0.9898989659512919,1.0397108423148047,1.6975333592624646,1.0265825884853619,1.6810269799825934,0.9419485940110844,0.8396101098321385,0.4732168204400454,0.971170534722886,0.6262505002000799
2007,0.00385373318660153,0.11342624079946186,0.11727997398606338,0.2751977866109686,3.702534182997707e-5,2.517069284651563e-4,0.00451501677622555,-0.00255387203257845,1.0824194413674992e-4,-7.121660230674509e-5,0.00164730158864336,0.00286771518758219,40.47,0.4047,0.3863,0.01840000000000002,935,6272064,101084,0.00924973289541371,1.490737339414904e-4,1.0183117677720712e-4,5.379081518701349e-5,0.9908051961055758,1.0400391831641793,1.7465908257331755,1.0259384355183012,1.7610966057441253,0.8574401946173248,0.8465522515882974,0.5064981223216645,0.9476369957747084,0.6998799519807923
2008,0.00395817073148542,0.11332082785315677,0.11727899858464218,0.27545328078893483,-9.754014212021156e-7,2.554941779662201e-4,0.00451404137480435,-0.00229837785461223,1.0443754488389036e-4,-1.0541294630508902e-4,0.00175173913352725,0.0027623022412771,41.92,0.4192,0.4047,0.01450000000000001,955,6631065,109946,0.00868608225856329,1.440190979880306e-4,1.0614075080023424e-4,5.810038921004063e-5,0.9917250616401831,1.0400305333012667,1.7939240605275544,1.02498497719637,1.8241949521322889,0.7716602593330303,0.8463693667153841,0.5386096802466094,0.9128032688464298,0.7579031612645059
2009,0.00404745358827686,0.11330968592466004,0.1173571395129369,0.2756670916726581,7.814092829472319e-5,2.138108837232977e-4,0.00459218230309907,-0.00208456697088893,8.928285679143944e-5,-1.1141928496730125e-5,0.00184102199031868,0.00275116031278037,41.41,0.4141,0.4192,-0.00509999999999999,1116,7177096,122983,0.00907442492051747,1.5549464574529865e-4,1.11054236927903e-4,6.301387533770938e-5,0.9924948532042281,1.0407234873024758,1.8343888802274089,1.0248841986409845,1.8020017406440383,0.6998751254608715,0.8610205589628686,0.5660616050381229,0.9091214165852644,0.7374949979991997
2010,0.00413693826537428,0.11343366335583174,0.11757060162120604,0.27536214278211674,2.1346210826912737e-4,-3.0494889054138996e-4,0.0048056444113682,-0.00238951586143032,8.948467709741972e-5,1.239774311717068e-4,0.0019305066674161,0.00287513774395208,42.56,0.4256,0.4141,0.01149999999999995,1292,7661498,137432,0.00940101286454392,1.6863542873730438e-4,1.1658583461545776e-4,6.854547302526416e-5,0.9913969339621589,1.042616469959064,1.874945169024319,1.026005572415513,1.8520452567449954,0.802259047880882,0.9010440710205787,0.5935755838012527,0.9500897808524549,0.7835134053621448
2011,0.00422150877936766,0.11344852967423431,0.11767003845360198,0.27507872533344657,9.943683239595212e-5,-2.834174486701646e-4,0.00490508124376415,-0.00267293331010048,8.45705139933808e-5,1.4866318402570466e-5,0.00201507718140949,0.00289000406235465,42.54,0.4254,0.4256,-1.9999999999997797e-4,1596,8330811,150531,0.01060246726587878,1.915779868250522e-4,1.236785080834361e-4,7.56381464932425e-5,0.9903765351999902,1.043498276105728,1.9132742584335,1.026140038014799,1.8511749347258486,0.8974139770416587,0.9196881821120022,0.619578597964981,0.955002358423005,0.7827130852340936
