year,urban_mean,agri_mean,anthropo_mean,forest_mean,anthropo_change,forest_change,anthropo_mean_0,forest_mean_0,urban_change,agri_change,urban_mean_0,agri_mean_0,%collapsed_overexploited,fish_stock,fish_stock_lag,fish_stock_change,cases_count,total_count,tca_count,prop_new_cases_tca,prop_new_cases,prop_aggr,prop_aggr_0
2004,0.00352544453854452,0.11358470040282669,0.1171101449413712,0.2747858650600236,6.964759306404e-4,-2.789944813679779e-4,0.00434518773153337,-0.00296579358352344,2.0745730905289035e-4,4.890186215875253e-4,0.0013190129405863502,0.0030261747909470227,36.29,0.3629,0.3535,0.00940000000000002,558,4883906,77206,0.0072274175582208635,1.1425281321958285e-4,8.388220589687765e-5,3.584184430668403e-5
2005,0.00364080104392184,0.11356112863464302,0.11720192967856488,0.2748155906190498,9.178473719366476e-5,2.972555902619467e-5,0.00443697246872704,-0.00293606802449725,1.153565053773199e-4,-2.357176818366946e-5,0.00143436944596367,0.0030026030227633532,37.95,0.3795,0.3629,0.0166,741,5237936,85699,0.00864654196665072,1.4146793698892083e-4,9.0399210605746e-5,4.2358849015552385e-5
2006,0.00374549124246478,0.1134974574017686,0.1172429486442334,0.27494607968250345,4.1018965668535023e-5,1.3048906345364264e-4,0.00447799143439557,-0.0028055789610436,1.0469019854294007e-4,-6.367123287441545e-5,0.0015390596445066101,0.0029389317898889378,38.629999999999995,0.3863,0.3795,0.00679999999999997,816,5727086,94162,0.008665916186996877,1.424808358037578e-4,9.613410908175852e-5,4.80937474915649e-5
2007,0.00385373318660153,0.11342624079946186,0.11727997398606338,0.2751977866109686,3.702534182997707e-5,2.517069284651563e-4,0.00451501677622555,-0.00255387203257845,1.0824194413674992e-4,-7.121660230674509e-5,0.00164730158864336,0.0028677151875821927,40.47,0.4047,0.3863,0.01840000000000002,935,6272064,101084,0.009249732895413715,1.490737339414904e-4,1.0183117677720711e-4,5.379081518701349e-5
2008,0.00395817073148542,0.11332082785315677,0.11727899858464218,0.27545328078893483,-9.754014212021156e-7,2.554941779662201e-4,0.00451404137480435,-0.00229837785461223,1.0443754488389037e-4,-1.0541294630508902e-4,0.0017517391335272504,0.0027623022412771037,41.92,0.4192,0.4047,0.01450000000000001,955,6631065,109946,0.008686082258563295,1.440190979880306e-4,1.0614075080023425e-4,5.810038921004063e-5
2009,0.00404745358827686,0.11330968592466004,0.1173571395129369,0.2756670916726581,7.814092829472319e-5,2.138108837232977e-4,0.00459218230309907,-0.00208456697088893,8.928285679143944e-5,-1.1141928496730125e-5,0.0018410219903186899,0.0027511603127803735,41.41,0.4141,0.4192,-0.00509999999999999,1116,7177096,122983,0.00907442492051747,1.5549464574529865e-4,1.1105423692790301e-4,6.301387533770938e-5
2010,0.00413693826537428,0.11343366335583174,0.11757060162120604,0.27536214278211674,2.1346210826912737e-4,-3.0494889054138996e-4,0.0048056444113682,-0.00238951586143032,8.948467709741972e-5,1.239774311717068e-4,0.0019305066674161096,0.0028751377439520803,42.56,0.4256,0.4141,0.01149999999999995,1292,7661498,137432,0.00940101286454392,1.6863542873730438e-4,1.1658583461545777e-4,6.854547302526416e-5
2011,0.00422150877936766,0.11344852967423431,0.11767003845360198,0.27507872533344657,9.943683239595212e-5,-2.834174486701646e-4,0.00490508124376415,-0.00267293331010048,8.45705139933808e-5,1.4866318402570466e-5,0.0020150771814094904,0.002890004062354651,42.54,0.4254,0.4256,-1.9999999999997797e-4,1596,8330811,150531,0.010602467265878789,1.9157798682505221e-4,1.236785080834361e-4,7.56381464932425e-5
2012,0.00432838176569558,0.11346626122652292,0.1177946429922185,0.2748407321522253,1.2460453861652676e-4,-2.3799318122125213e-4,0.00502968578238068,-0.00291092649132174,1.0687298632791956e-4,1.7731552288610675e-5,0.00212195016773741,0.0029077356146432615,44.33,0.4433,0.4254,0.01790000000000002,1719,8591952,163022,0.01054458907386733,2.0007095011703976e-4,1.304678444707442e-4,8.242748288055058e-5
2013,0.00447939162102753,0.11339792094327251,0.11787731256430006,0.27477977920625296,8.266957208155623e-5,-6.095294597235901e-5,0.00511235535446223,-0.0029718794372941,1.5100985533194992e-4,-6.83402832504093e-5,0.00227296002306936,0.002839395331392852,45.34,0.4534,0.4433,0.01009999999999999,1872,9113744,178241,0.010502634074090697,2.054040578712766e-4,1.3692362032744718e-4,8.888325873725357e-5
2014,0.00462271014427583,0.11329840510072885,0.11792111524500468,0.2748916141732761,4.380268070461324e-5,1.1183496702316108e-4,0.00515615803516684,-0.00286004447027093,1.433185232483005e-4,-9.951584254366819e-5,0.0024162785463176604,0.002739879488849184,45.28,0.4528,0.4534,-6.000000000000449e-4,1994,9508028,186481,0.010692778352754437,2.0971751450458496e-4,1.4292661069374143e-4,9.488624910354782e-5
2015,0.00470488346584326,0.11326037872828884,0.11796526219413211,0.27477317448965427,4.4146949127452095e-5,-1.1843968362185152e-4,0.0052003049842943,-0.00297848415389279,8.217332156742942e-5,-3.802637244000595e-5,0.00249845186788509,0.002701853116409178,44.52,0.4452,0.4528,-0.00759999999999999,2351,9715202,195765,0.012009296861032361,2.4199188035410894e-4,1.506253760834868e-4,1.0258501449329318e-4
2016,0.00476060315163169,0.1129101620696622,0.1176707652212939,0.2755333966445198,-2.9449697283823184e-4,7.602221548655419e-4,0.00490580801145607,-0.00221826199902724,5.5719685788430465e-5,-3.5021665862663975e-4,0.0025541715536735203,0.0023516364577825383,44.6,0.446,0.4452,8.000000000000229e-4,2328,9974175,199981,0.011641105905060982,2.334027626345036e-4,1.5674181954642794e-4,1.0870145795623432e-4
2017,0.00488430327016656,0.11279295391514813,0.11767725718531467,0.2756817405330422,6.491964020791108e-6,1.4834388852236202e-4,0.00491229997547686,-0.00206991811050488,1.2370011853486945e-4,-1.1720815451407574e-4,0.0026778716722083897,0.0022344283032684625,45.94,0.4594,0.446,0.01339999999999996,2451,9855791,202743,0.012089196667702461,2.4868627997488987e-4,1.629981868117324e-4,1.1495782522153878e-4
2018,0.00496305369134179,0.11295032542343417,0.11791337911477597,0.2751806026375266,2.3612192946126376e-4,-5.01137895515591e-4,0.00514842190493812,-0.00257105600602047,7.875042117522994e-5,1.5737150828604163e-4,0.0027566220933836197,0.002391799811554504,47.97,0.4797,0.4594,0.02030000000000004,2589,9849648,224310,0.011542062324461682,2.6285203288483e-4,1.6935615506321442e-4,1.2131579347302081e-4
2019,0.00507320211441933,0.11294495929245968,0.11801816140687904,0.274924883925314,1.0478229210307556e-4,-2.557187122125826e-4,0.0052532041970412,-0.00282677471823306,1.1014842307754003e-4,-5.366130974487904e-6,0.0028667705164611597,0.0023864336805800163,46.42,0.4642,0.4797,-0.01550000000000001,2966,10092433,247105,0.01200299467837559,2.938835462172501e-4,1.769830057051046e-4,1.2894264411491098e-4
2020,0.00513271814763297,0.11296565677830508,0.11809837492593804,0.2749959349494503,8.021351905902752e-5,7.105102413629272e-5,0.00533341771610022,-0.00275572369409676,5.951603321364008e-5,2.069748584540565e-5,0.0029262865496747998,0.002407131166425422,NA,NA,NA,NA,3256,10703599,292693,0.011124283805899013,3.0419674728098466e-4,1.84742206155412e-4,1.3670184456521838e-4
2021,0.00528165442931021,0.11280355783121944,0.11808521226052963,0.2753377380371655,-1.3162665408406047e-5,3.4180308771519785e-4,0.00532025505069182,-0.00241392060638157,1.4893628167724025e-4,-1.6209894708564543e-4,0.00307522283135204,0.0022450322193397765,NA,NA,NA,NA,3365,9776559,326740,0.010298708453204382,3.44190629852487e-4,1.9315643694217444e-4,1.4511607535198082e-4
2022,0.00545876663346142,0.11257866138830291,0.11803742802176434,0.2757091756098058,-4.778423876530824e-5,3.714375726402986e-4,0.00527247081192651,-0.00204248303374127,1.7711220415120993e-4,-2.248964429165251e-4,0.00325233503550325,0.0020201357764232514,NA,NA,NA,NA,3251,9431408,331629,0.009803123369789736,3.4469932803246346e-4,2.0049744383479067e-4,1.5245708224459706e-4
